Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
35506021,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,"Taylor, Dennis E.",,"=""""","=""""",4,4.40,Worldbuilders Press,Kindle Edition,260,2017,2017,2020/11/25,2020/11/25,,,read,,,,1,,,0,,,,,
32068085,Eve out of Her Ruins,Ananda Devi,"Devi, Ananda","J.M.G. Le Clézio, Jeffrey Zuckerman","=""""","=""""",3,4.08,Deep Vellum Publishing,Kindle Edition,160,2016,2006,2021/03/03,2021/02/25,,,read,,,,1,,,0,,,,,
40696972,"The Rosewater Insurrection (The Wormwood Trilogy, #2)",Tade Thompson,"Thompson, Tade",,"=""0316449083""","=""9780316449083""",5,4.01,Orbit,Paperback,374,2019,2019,2021/09/21,2021/09/14,,,read,,,,1,,,0,,,,,
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",0,3.65,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2021/10/05,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
44767458,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",0,4.24,Ace Books,Hardcover,688,2019,1965,,2019/12/27,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
1393631,Dune I,Frank Herbert,"Herbert, Frank",,"=""2266155482""","=""""",0,4.42,Pocket,Mass Market Paperback,348,2005,1965,,2021/10/02,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
43885011,"The Rosewater Redemption (The Wormwood Trilogy, #3)",Tade Thompson,"Thompson, Tade",,"=""0316449091""","=""9780316449090""",4,4.09,Orbit,Paperback,416,2019,2019,2021/09/30,2021/09/22,,,read,,,,1,,,0,,,,,
215527,Sublimes paroles et idioties de Nasr Eddin Hodja,Nasreddin Hodja,"Hodja, Nasreddin",Jean-Louis Maunoury,"=""2859408576""","=""9782859408572""",0,4.00,,Mass Market Paperback,635,2002,1990,,2021/04/04,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
38362809,"Rosewater (The Wormwood Trilogy, #1)",Tade Thompson,"Thompson, Tade",,"=""0316449059""","=""9780316449052""",4,3.78,Orbit,Paperback,432,2018,2017,2021/09/14,2021/09/07,,,read,,,,1,,,0,,,,,
2282466,"Soundjata, ou, L'épopée mandingue / Djibril Tamsir Niane",Djibril Tamsir Niane,"Niane, Djibril Tamsir",,"=""2708700782""","=""9782708700789""",0,3.64,Présence africaine,Reliure inconnue,153,2000,1255,,2021/09/07,to-read,to-read (#57),to-read,,,,0,,,0,,,,,
50121213,The Mother Code,Carole Stivers,"Stivers, Carole",,"=""1984806920""","=""9781984806925""",0,3.73,Berkley,Hardcover,352,2020,2020,,2021/08/31,to-read,to-read (#56),to-read,,,,0,,,0,,,,,
48829708,To Sleep in a Sea of Stars,Christopher Paolini,"Paolini, Christopher",,"=""1250762847""","=""9781250762849""",0,3.80,Tor Books,Hardcover,878,2020,2020,,2021/08/31,to-read,to-read (#55),to-read,,,,0,,,0,,,,,
331168,Les Croisades vues par les Arabes,Amin Maalouf,"Maalouf, Amin",,"=""2290119164""","=""9782290119167""",5,4.20,J'Ai Lu,Paperback,315,1999,1983,2021/08/28,2021/08/23,,,read,,,,1,,,0,,,,,
153496,Leo Africanus,Amin Maalouf,"Maalouf, Amin",Peter Sluglett,"=""1561310220""","=""9781561310227""",0,4.20,New Amsterdam Books,Paperback,370,1998,1986,,2021/08/22,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
311690,Samarcande,Amin Maalouf,"Maalouf, Amin",,"=""""","=""""",5,4.24,Le Livre de Poche,Mass Market Paperback,313,2007,1988,2021/08/22,2021/08/14,,,read,,,,1,,,0,,,,,
43293099,The Forest of Enchantments,Chitra Banerjee Divakaruni,"Divakaruni, Chitra Banerjee",,"=""9353025982""","=""9789353025984""",0,4.14,HarperCollins India,Hardcover,372,2019,2019,,2021/08/14,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
15811554,Honor,Elif Shafak,"Shafak, Elif",,"=""0670784834""","=""9780670784837""",0,4.08,Viking,Hardcover,352,2013,2011,,2021/08/14,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
18753656,Lagoon,Nnedi Okorafor,"Okorafor, Nnedi",,"=""1444762753""","=""9781444762754""",0,3.63,Hodder & Stoughton,Paperback,306,2014,2014,,2021/08/14,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
53205922,Remote Control,Nnedi Okorafor,"Okorafor, Nnedi",,"=""125077280X""","=""9781250772800""",5,3.91,Tordotcom,Hardcover,160,2021,2021,2021/08/14,2021/07/15,,,read,,,,1,,,0,,,,,
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",3,3.82,Alfred A. Knopf,Hardcover,303,2021,2021,2021/08/09,2021/07/15,,,read,,,,1,,,0,,,,,
29580,Second Foundation (Foundation #3),Isaac Asimov,"Asimov, Isaac",,"=""0553803735""","=""9780553803730""",5,4.25,Bantam Spectra,Hardcover,256,2004,1953,2021/08/02,2021/07/03,,,read,,,,1,,,0,,,,,
17601,"The Will to Change: Men, Masculinity, and Love",bell hooks,"hooks, bell",,"=""0743456084""","=""9780743456081""",4,4.37,Washington Square Press,Paperback,188,2004,2003,2021/07/25,2021/07/04,,,read,,,,1,,,0,,,,,
55845334,Minerai noir ; anthologie personnelle et autres recueils,René Depestre,"Depestre, René",,"=""""","=""9782757876626""",0,5.00,Points,,192,,,,2021/07/04,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
29581,Foundation and Empire (Foundation #2),Isaac Asimov,"Asimov, Isaac",,"=""0553803727""","=""9780553803723""",5,4.21,Spectra Books,Hardcover,244,2004,1952,2021/06/26,2021/06/01,,,read,,,,1,,,0,,,,,
